"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
5.429300600E-1	-8.554340899E-2	7.728816867E-1	9.787242889E0	9.818084699E0
5.450208990E-1	-9.032905847E-2	7.441678643E-1	9.783055305E0	9.811733601E0
5.471081700E-1	-7.597211748E-2	7.537391186E-1	9.744770050E0	9.774171973E0
5.491973840E-1	-5.682953820E-2	7.298108935E-1	9.754341125E0	9.781770000E0
5.512860990E-1	-4.247260094E-2	7.160521746E-1	9.744770050E0	9.771134938E0
5.533760130E-1	-5.682953820E-2	7.106683254E-1	9.739984512E0	9.766042052E0
5.554652360E-1	-5.204389244E-2	6.723831892E-1	9.726225853E0	9.749578302E0
5.575546010E-1	-4.725824669E-2	6.825526357E-1	9.735796928E0	9.759808055E0
5.596443030E-1	-5.204389244E-2	6.873382926E-1	9.740582466E0	9.764941847E0
5.617351340E-1	-6.580262631E-2	6.675975323E-1	9.764511108E0	9.787527453E0
5.638224140E-1	-7.058826834E-2	6.532405615E-1	9.764511108E0	9.786592007E0
5.659105280E-1	-6.101697683E-2	6.394818425E-1	9.764511108E0	9.785618901E0
5.679955210E-1	-6.580262631E-2	6.155536175E-1	9.755537987E0	9.775160237E0
5.700902470E-1	-6.580262631E-2	6.005984545E-1	9.736394882E0	9.755123464E0
5.721796030E-1	-7.058826834E-2	6.005984545E-1	9.707681656E0	9.726499079E0
5.742700560E-1	-7.058826834E-2	6.149554253E-1	9.717252731E0	9.736947855E0
5.763589030E-1	-6.580262631E-2	6.149554253E-1	9.707681656E0	9.727362607E0
5.784504760E-1	-6.640082598E-2	6.388836503E-1	9.678967476E0	9.700257357E0
5.805368610E-1	-6.640082598E-2	6.484549642E-1	9.692726135E0	9.714620057E0
5.826260340E-1	-6.161518395E-2	6.628118753E-1	9.707083702E0	9.729881295E0
5.847145140E-1	-5.682953820E-2	6.723831892E-1	9.726225853E0	9.749605022E0
5.868045420E-1	-4.725824669E-2	6.963114142E-1	9.720842361E0	9.745863694E0
5.888938160E-1	-5.682953820E-2	7.154539824E-1	9.706484795E0	9.732982640E0
5.909831720E-1	-5.204389244E-2	7.202396393E-1	9.706484795E0	9.733308830E0
5.930729130E-1	-4.725824669E-2	7.345965505E-1	9.711270332E0	9.739129165E0
5.951637540E-1	-3.768695518E-2	7.393822074E-1	9.711270332E0	9.739449565E0
5.972509630E-1	-3.349951655E-2	7.441678643E-1	9.682557106E0	9.711169865E0
5.993403590E-1	-3.828516230E-2	7.585247755E-1	9.677771568E0	9.707527395E0
6.014290540E-1	-3.828516230E-2	7.633104324E-1	9.706484795E0	9.736526878E0
6.035187850E-1	-1.854437590E-2	7.639086246E-1	9.734601021E0	9.764545935E0
6.056081110E-1	-3.290131316E-2	7.256234884E-1	9.754341125E0	9.781348718E0
6.076974870E-1	-3.768695518E-2	7.112665176E-1	9.749555588E0	9.775538580E0
6.097875750E-1	-4.725824669E-2	7.016952634E-1	9.754341125E0	9.779661568E0
6.118780290E-1	-4.187439755E-2	6.873382926E-1	9.802198410E0	9.826356449E0
6.139652680E-1	-3.708875179E-2	6.490531564E-1	9.821938515E0	9.843430386E0
6.160544810E-1	-5.563312769E-2	6.251249313E-1	9.845867157E0	9.865848990E0
6.181434410E-1	-8.913264424E-2	6.059823632E-1	9.836894035E0	9.855944578E0
6.202331820E-1	-1.034895778E-1	6.053841114E-1	9.817750931E0	9.836942277E0
6.223256520E-1	-1.136590764E-1	6.245267391E-1	9.798608780E0	9.819148948E0
6.244276910E-1	-1.232303679E-1	6.293123364E-1	9.822537422E0	9.843447625E0
6.265175750E-1	-1.034895778E-1	6.149554253E-1	9.832108498E0	9.851864685E0
6.286084570E-1	-1.082752272E-1	6.011967063E-1	9.870393753E0	9.889278732E0
6.306926140E-1	-9.391828626E-2	6.011967063E-1	9.869794846E0	9.888534190E0
6.327790100E-1	-1.034895778E-1	5.958128572E-1	9.836894035E0	9.855464845E0
6.348599120E-1	-1.034895778E-1	6.005984545E-1	9.827322960E0	9.846202575E0
